,precision,recall,f1-score,support
micro avg,0.8027750726663148,0.5889633958446389,0.6794453751110902,366707.0
macro avg,0.6776517387714186,0.3985579735155313,0.4669558033837875,366707.0
weighted avg,0.7500758549076455,0.5889633958446389,0.6301908169886923,366707.0
samples avg,0.7954224163637271,0.5766228009007728,0.6452075016716592,366707.0
